[06/05/24 15:39:01:304 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '483e6e0d-60f5-4a6b-b564-8bc34412bea4' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:306 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: cdd935a6-cff2-4fb6-a79b-12315243554e, name: Save as Draft has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:308 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '24a53cec-d71a-42ac-8c2c-c9c166aff646' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:310 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '45ecc266-6a39-4be7-8785-22c10e651155' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:312 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: 6a293398-8535-4be0-a7f0-5b8deb7f4776, name: Send for Review has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:314 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: 'c5e96a09-ae61-4d60-95e7-6687d0aeeb7c' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:316 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '92de3a5a-35cc-42ee-8872-2e9d8caffb7d' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:318 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: 0acd7c0c-89f7-4d5d-a92b-bf3e4888e046, name: Send to Legal has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:325 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '8b8f2527-252b-431e-937e-2af7c2e583e1' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:328 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '85f6b4aa-16e8-4c89-beec-1c5ba3467e9c' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:330 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action Class with id: '14a028d2-a91d-47f0-b838-79dc359ca5ed' has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:332 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: 6f903a61-4454-4d19-9b71-9968faf20b2a, name: Unpublish has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:336 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'Editing' [a0e9f6d3-69e7-4cf9-9e8a-357bb783742b]
[06/05/24 15:39:01:337 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Editing' [a0e9f6d3-69e7-4cf9-9e8a-357bb783742b] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:338 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:338 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Editing' [a0e9f6d3-69e7-4cf9-9e8a-357bb783742b] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:339 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'Review' [b5303ee3-541b-4871-a313-5e8c90c6d343]
[06/05/24 15:39:01:341 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Review' [b5303ee3-541b-4871-a313-5e8c90c6d343] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:341 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:341 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Review' [b5303ee3-541b-4871-a313-5e8c90c6d343] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:343 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'Legal Approval' [49280d8d-01b0-4fba-9d0c-e9decc1cd0a9]
[06/05/24 15:39:01:345 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Legal Approval' [49280d8d-01b0-4fba-9d0c-e9decc1cd0a9] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:345 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:345 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Legal Approval' [49280d8d-01b0-4fba-9d0c-e9decc1cd0a9] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:346 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'Published' [43f0f8a6-58da-4f62-b6f9-3b2d28df86e5]
[06/05/24 15:39:01:348 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Published' [43f0f8a6-58da-4f62-b6f9-3b2d28df86e5] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:348 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:348 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Published' [43f0f8a6-58da-4f62-b6f9-3b2d28df86e5] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:349 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'Archived' [011ee9a6-41f7-43ec-8110-ead30fb49769]
[06/05/24 15:39:01:351 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Archived' [011ee9a6-41f7-43ec-8110-ead30fb49769] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:351 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:351 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'Archived' [011ee9a6-41f7-43ec-8110-ead30fb49769] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:352 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Scheme 'Document Management_6_05062024_153901' [addbd732-6f55-48e8-a18b-26fb6753c68b] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:352 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Scheme task has finished. Duration: 0 seconds
[06/05/24 15:39:01:354 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Worklow Scheme 'Document Management_6_05062024_153901' [addbd732-6f55-48e8-a18b-26fb6753c68b] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:360 UTC]  INFO business.WorkflowFactoryImpl: Deleting the schemes associated to the content type: 2853b7bd179e1cf1e7885920898f6d27
[06/05/24 15:39:01:363 UTC]  INFO caffine.CaffineCache: ***	 Building Cache : containerstructurecache, size:1000,Concurrency:32
[06/05/24 15:39:01:364 UTC]  INFO caffine.CaffineCache: ***	 Building Cache : containerstructurecache, size:1000,Concurrency:32
[06/05/24 15:39:01:367 UTC]  INFO business.WorkflowFactoryImpl: Deleting the schemes associated to the content type: a8b444b3b128eef1d71be152d55d864d
[06/05/24 15:39:01:370 UTC]  INFO caffine.CaffineCache: ***	 Building Cache : containerstructurecache, size:1000,Concurrency:32
[06/05/24 15:39:01:371 UTC]  INFO caffine.CaffineCache: ***	 Building Cache : containerstructurecache, size:1000,Concurrency:32
[06/05/24 15:39:01:376 UTC]  INFO business.WorkflowFactoryImpl: Deleting the schemes associated to the content type: 3e4013f114c9b3dffa14b027baed401b
[06/05/24 15:39:01:378 UTC]  INFO caffine.CaffineCache: ***	 Building Cache : containerstructurecache, size:1000,Concurrency:32
[06/05/24 15:39:01:379 UTC]  INFO caffine.CaffineCache: ***	 Building Cache : containerstructurecache, size:1000,Concurrency:32
[06/05/24 15:39:01:381 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Scheme 'WorkflowSchemeTest11715009928528' [7f5db4ca-c3fb-447b-836c-d81aae1e079f] has been saved by User ID 'system' -- ip:127.0.0.1,user:system user system user [ID: system][email:system@dotcms.systemuser]
[06/05/24 15:39:01:381 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Scheme 'WorkflowSchemeTest11715009928528' [7f5db4ca-c3fb-447b-836c-d81aae1e079f]
[06/05/24 15:39:01:386 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: dd9b666e-865f-41ec-ad17-ea6d2988bd8c, name: WorkflowScheme1Step1ActionIntranet_1715009928528 has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:388 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: b3b6d974-5c2f-412e-9eee-4731f12682a5, name: WorkflowScheme1Step2ActionReviewer_1715009928528 has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:390 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'WorkflowScheme1Step1_1715009928528' [43a3925a-a9b0-4edc-8b9f-b2b504bf4200]
[06/05/24 15:39:01:391 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme1Step1_1715009928528' [43a3925a-a9b0-4edc-8b9f-b2b504bf4200] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:391 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:391 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme1Step1_1715009928528' [43a3925a-a9b0-4edc-8b9f-b2b504bf4200] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:393 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'WorkflowScheme1Step2_1715009928528' [8237f70a-385f-40ed-81b1-cf041f207450]
[06/05/24 15:39:01:394 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme1Step2_1715009928528' [8237f70a-385f-40ed-81b1-cf041f207450] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:394 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:394 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme1Step2_1715009928528' [8237f70a-385f-40ed-81b1-cf041f207450] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:395 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Scheme 'WorkflowSchemeTest11715009928528' [7f5db4ca-c3fb-447b-836c-d81aae1e079f] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:395 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Scheme task has finished. Duration: 0 seconds
[06/05/24 15:39:01:398 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Worklow Scheme 'WorkflowSchemeTest11715009928528' [7f5db4ca-c3fb-447b-836c-d81aae1e079f] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:399 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Scheme 'WorkflowSchemeTest2_1715009928528' [79ce5619-3289-4bcd-8580-95375764487e] has been saved by User ID 'system' -- ip:127.0.0.1,user:system user system user [ID: system][email:system@dotcms.systemuser]
[06/05/24 15:39:01:399 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Scheme 'WorkflowSchemeTest2_1715009928528' [79ce5619-3289-4bcd-8580-95375764487e]
[06/05/24 15:39:01:404 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: 4b70a67d-8fc9-4f0c-ac2a-f41172164b00, name: WorkflowScheme2Step1ActionReviewer_1715009928528 has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:406 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: 390a7886-4c64-4ca3-8bc2-c00ac65cd23a, name: WorkflowScheme2Step2ActionReviewer_1715009928528 has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:408 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'WorkflowScheme2Step1_1715009928528' [79c79fa5-5b79-4eb7-b996-a59b84b4ca1c]
[06/05/24 15:39:01:410 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme2Step1_1715009928528' [79c79fa5-5b79-4eb7-b996-a59b84b4ca1c] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:410 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:410 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme2Step1_1715009928528' [79c79fa5-5b79-4eb7-b996-a59b84b4ca1c] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:411 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'WorkflowScheme2Step2_1715009928528' [01fe19e0-d7d7-4a5e-82fe-1ed1b03e4350]
[06/05/24 15:39:01:413 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme2Step2_1715009928528' [01fe19e0-d7d7-4a5e-82fe-1ed1b03e4350] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:413 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:413 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme2Step2_1715009928528' [01fe19e0-d7d7-4a5e-82fe-1ed1b03e4350] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:414 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Scheme 'WorkflowSchemeTest2_1715009928528' [79ce5619-3289-4bcd-8580-95375764487e] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:414 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Scheme task has finished. Duration: 0 seconds
[06/05/24 15:39:01:415 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Worklow Scheme 'WorkflowSchemeTest2_1715009928528' [79ce5619-3289-4bcd-8580-95375764487e] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:416 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Scheme 'WorkflowSchemeTest3_1715009928528' [fc9fcd86-8c44-4a1a-acef-516888ffd9ca] has been saved by User ID 'system' -- ip:127.0.0.1,user:system user system user [ID: system][email:system@dotcms.systemuser]
[06/05/24 15:39:01:417 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Scheme 'WorkflowSchemeTest3_1715009928528' [fc9fcd86-8c44-4a1a-acef-516888ffd9ca]
[06/05/24 15:39:01:421 UTC]  INFO reindex.BulkProcessorListener: -----------
[06/05/24 15:39:01:421 UTC]  INFO reindex.BulkProcessorListener: Reindexing Server #  : 1 of 1
[06/05/24 15:39:01:421 UTC]  INFO reindex.BulkProcessorListener: Total Indexed        : 0
[06/05/24 15:39:01:421 UTC]  INFO reindex.BulkProcessorListener: ReindexEntries found : 100
[06/05/24 15:39:01:421 UTC]  INFO reindex.BulkProcessorListener: BulkRequests created : 10
[06/05/24 15:39:01:421 UTC]  INFO reindex.BulkProcessorListener: -----------
[06/05/24 15:39:01:422 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: 474b7c55-90ea-41f6-9591-635832806b7d, name: WorkflowScheme2Step2ActionPublisher_1715009928528 has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:426 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: bb20b549-f51f-46b6-a7f8-b85acd1a66b4, name: WorkflowScheme2Step2ActionReviewer_1715009928528 has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:428 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Action with id: f404d6f7-b4b7-45e2-9bea-e2bb2b1218f5, name: WorkflowScheme3Step1ActionPublisher_1715009928528 has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:430 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'WorkflowScheme3Step1_1715009928528' [03eafc4d-c4f8-4cfd-ae1b-c44b4c657a60]
[06/05/24 15:39:01:432 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme3Step1_1715009928528' [03eafc4d-c4f8-4cfd-ae1b-c44b4c657a60] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:432 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:432 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme3Step1_1715009928528' [03eafc4d-c4f8-4cfd-ae1b-c44b4c657a60] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:433 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Step 'WorkflowScheme3Step2_1715009928528' [c378a1b9-68f6-4596-8ea3-44be8dbbb39d]
[06/05/24 15:39:01:435 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme3Step2_1715009928528' [c378a1b9-68f6-4596-8ea3-44be8dbbb39d] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:435 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Step task has finished. Duration: 0 seconds
[06/05/24 15:39:01:435 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Step 'WorkflowScheme3Step2_1715009928528' [c378a1b9-68f6-4596-8ea3-44be8dbbb39d] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:436 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Scheme 'WorkflowSchemeTest3_1715009928528' [fc9fcd86-8c44-4a1a-acef-516888ffd9ca] has been deleted -- ip:ukn,user:null
[06/05/24 15:39:01:436 UTC]  INFO business.WorkflowAPIImpl: Delete Workflow Scheme task has finished. Duration: 0 seconds
[06/05/24 15:39:01:438 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Worklow Scheme 'WorkflowSchemeTest3_1715009928528' [fc9fcd86-8c44-4a1a-acef-516888ffd9ca] has been deleted by User ID 'system' -- ip:ukn,user:null
[06/05/24 15:39:01:439 UTC]  INFO util.SecurityLogger: class com.dotmarketing.portlets.workflows.business.WorkflowAPIImpl : Workflow Scheme 'WorkflowSchemeTest41715009928528' [85cc5c7f-ab8f-4120-be0c-7639326068f3] has been saved by User ID 'system' -- ip:127.0.0.1,user:system user system user [ID: system][email:system@dotcms.systemuser]
[06/05/24 15:39:01:440 UTC]  INFO business.WorkflowAPIImpl: Deleting Workflow Scheme 'WorkflowSchemeTest41715009928528' [85cc5c7f-ab8f-4120-be0c-7639326068f3]
[06/05/24 15:39:01:454 UTC]  INFO reindex.BulkProcessorListener: -----------
[06/05/24 15:39:01:454 UTC]  INFO reindex.BulkProcessorListener: Reindexing Server #  : 1 of 1
[06/05/24 15:39:01:454 UTC]  INFO reindex.BulkProcessorListener: Total Indexed        : 10
[06/05/24 15:39:01:454 UTC]  INFO reindex.BulkProcessorListener: ReindexEntries found : 100
